presentationDate,presentationSessionsN,presentationLanguage,presentationKind,playName,playGenre,playNationality,companyName,companyNationality,presentationTheater
"1931-01-01 00:00:00",2,Português,SESSIONS,"TostÃ£ozinho de felicidade, Um","Teatro declamado","Brasileira ",Abigail-Oduvaldo,"Brasileira ",Apolo
"1931-01-01 00:00:00",2,Português,SESSIONS,"Sonhos de um moÃ§o loiro","Teatro declamado",NULL,Abigail-Oduvaldo,"Brasileira ",Apolo
"1931-01-01 00:00:00",2,Português,SESSIONS,"AdÃ£o, Eva e outros membros da familia","Teatro declamado","Brasileira ","Jayme Costa","Brasileira ","Boa Vista"
"1931-01-02 00:00:00",1,Português,SESSIONS,"TostÃ£ozinho de felicidade, Um","Teatro declamado","Brasileira ",Abigail-Oduvaldo,"Brasileira ",Apolo
"1931-01-02 00:00:00",1,Português,SESSIONS,"Sonhos de um moÃ§o loiro","Teatro declamado",NULL,Abigail-Oduvaldo,"Brasileira ",Apolo
"1931-01-02 00:00:00",1,Português,COMPLETE,"Futebol em familia","Teatro declamado",NULL,"Moinho do Jeca","Brasileira ","Moinho do Jeca"
"1931-01-02 00:00:00",2,Português,STAGE_SCREEN,"Tira teima",Revista,"Brasileira ","Pinto Filho","Brasileira ","Santa Helena"
"1931-01-03 00:00:00",1,Português,SESSIONS,"Sonhos de um moÃ§o loiro","Teatro declamado",NULL,Abigail-Oduvaldo,"Brasileira ",Apolo
"1931-01-03 00:00:00",1,Português,SESSIONS,"TostÃ£ozinho de felicidade, Um","Teatro declamado","Brasileira ",Abigail-Oduvaldo,"Brasileira ",Apolo
"1932-01-01 00:00:00",1,Português,SESSIONS,"Saudade... Palavra doce",Revista,"Brasileira ",Tro-lo-lÃ³,"Brasileira ",Santana
"1932-01-01 00:00:00",1,Português,SESSIONS,"Desfile tropical",Revista,"Brasileira ",Tro-lo-lÃ³,"Brasileira ",Santana
"1932-01-01 00:00:00",2,Português,SESSIONS,"Marido de minha noiva, O","Teatro declamado",Espanhola,"ProcÃ³pio Ferreira","Brasileira ",Apolo
"1932-01-01 00:00:00",3,Português,SESSIONS,"Brasil do amor",Revista,"Brasileira ","Margarida Max","Brasileira ","Cassino Antártica"
"1932-01-01 00:00:00",2,Português,SESSIONS,"Divino perfume","Teatro declamado","Brasileira ","Jayme Costa","Brasileira ","Boa Vista"
"1932-01-01 00:00:00",1,Português,COMPLETE,"Três homens para 10 mil virgens","Teatro declamado",NULL,"Moinho do Jeca","Brasileira ","Moinho do Jeca"
"1932-01-02 00:00:00",2,Português,SESSIONS,"Marido de minha noiva, O","Teatro declamado",Espanhola,"ProcÃ³pio Ferreira","Brasileira ",Apolo
"1932-01-02 00:00:00",2,Português,SESSIONS,"Nosso céu tem mais estrelas",Revista,"Brasileira ",Tro-lo-lÃ³,"Brasileira ",Avenida
"1932-01-02 00:00:00",1,AlemÃ£o,COMPLETE,Jaegerblut,"Teatro declamado",NULL,"Riesch Buehne",AlemÃ£,Santana
"1932-01-02 00:00:00",2,Português,SESSIONS,"Brasil do amor",Revista,"Brasileira ","Margarida Max","Brasileira ","Cassino Antártica"
"1933-01-01 00:00:00",3,"Napolitano (dialeto)",SESSIONS,"Piscatore Ã¨ curalle","CanÃ§Ã£o encenada",Italiana,"Canzone di Napoli",Ãtalo-sul-americana,Santana
"1933-01-01 00:00:00",3,Português,SESSIONS,"Sal e pimenta",Revista,NULL,Montparnasse,"Brasileira ",Recreio
"1933-01-01 00:00:00",3,"Napolitano (dialeto)",SESSIONS,"Tarantella Scugnizza","CanÃ§Ã£o encenada",Italiana,"Napoli canta",Ãtalo-sul-americana,"Cassino Antártica"
"1933-01-01 00:00:00",3,Português,SESSIONS,"A ver navios",Revista,"Brasileira ","Permanente do Colombo","Brasileira ",Colombo
"1933-01-01 00:00:00",3,Português,SESSIONS,"Deus lhe pague","Teatro declamado","Brasileira ","ProcÃ³pio Ferreira","Brasileira ","Boa Vista"
"1933-01-02 00:00:00",2,"Napolitano (dialeto)",SESSIONS,"Piscatore Ã¨ curalle","CanÃ§Ã£o encenada",Italiana,"Napoli canta",Ãtalo-sul-americana,"Cassino Antártica"
